real_isolate_id,project,source,date_isolated,genome_sequence
Gly-G2-6,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-03-12,
Gly-G2-7,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-03-12,
I,SRB isolates,,,
M-G2-1,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-26,
M-G2-12,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-03-12,
M-G2-14,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-03-12,
M-G2-16,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-03-12,
M-G2-17,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-03-12,
M-G2-17,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-03-12,
M-G2-18,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-03-12,
M-G2-3,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-26,
M-G2-4,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-03-12,
M-G2-5,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-02-26,
M-G2-6,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-03-12,
M-G2-8,,"B.distachyon rhizosphere grown in UC Davis soil in EcoFAB, enriched in corresponding carbon source",2020-03-12,
MBR 108,LDRD- Produced Water Reuse,"MBR sludge -Day 291, TDS 90g/L",2020-03-16,
MBR 109,LDRD- Produced Water Reuse,"MBR sludge -Day 291, TDS 90g/L",2020-03-16,
MBR 110,LDRD- Produced Water Reuse,"MBR sludge -Day 291, TDS 90g/L",2020-03-16,
MBR 111,LDRD- Produced Water Reuse,"MBR sludge -Day 291, TDS 90g/L",2020-03-16,
MBR 113,LDRD- Produced Water Reuse,"MBR sludge -Day 206, TDS 60g/L",2020-03-16,
MBR 114,LDRD- Produced Water Reuse,"MBR sludge -Day 206, TDS 60g/L",2020-03-16,
MBR 115,LDRD- Produced Water Reuse,"MBR sludge -Day 206, TDS 60g/L",2020-03-16,
MBR 116,LDRD- Produced Water Reuse,"MBR sludge -Day 206, TDS 60g/L",2020-03-16,
MBR 117,LDRD- Produced Water Reuse,"MBR sludge -Day 326, TDS 100g/L",2020-06-14,
MBR 118,LDRD- Produced Water Reuse,"MBR sludge -Day 326, TDS 100g/L",2020-06-14,
MBR 119,LDRD- Produced Water Reuse,"MBR sludge -Day 326, TDS 100g/L",2020-06-14,
MBR 120,LDRD- Produced Water Reuse,"MBR sludge -Day 326, TDS 100g/L",2020-06-14,
MBR 121,LDRD- Produced Water Reuse,"MBR sludge -Day 326, TDS 100g/L",2020-06-14,
MBR 122,LDRD- Produced Water Reuse,"MBR sludge -Day 326, TDS 100g/L",2020-06-14,
MBR 123,LDRD- Produced Water Reuse,"MBR sludge -Day 326, TDS 100g/L",2020-06-14,
MBR 125,LDRD- Produced Water Reuse,"MBR sludge -Day 326, TDS 100g/L",2020-06-14,
MBR 126,LDRD- Produced Water Reuse,"MBR sludge -Day 326, TDS 100g/L",2020-06-14,
MBR 127,LDRD- Produced Water Reuse,"MBR sludge -Day 326, TDS 100g/L",2020-06-14,
MBR 128,LDRD- Produced Water Reuse,"MBR sludge -Day 326, TDS 100g/L",2020-06-14,
MBR 130,LDRD- Produced Water Reuse,"MBR sludge -Day 326, TDS 100g/L",2020-06-14,
MBR 131,LDRD- Produced Water Reuse,"MBR sludge -Day 326, TDS 100g/L",2020-06-14,
MBR 132,LDRD- Produced Water Reuse,"MBR sludge -Day 326, TDS 100g/L",2020-06-14,
MBR 133,LDRD- Produced Water Reuse,"MBR sludge -Day 326, TDS 100g/L",2020-06-14,
MBR 135,LDRD- Produced Water Reuse,"MBR sludge -Day 326, TDS 100g/L",2020-06-14,
MBR 136,LDRD- Produced Water Reuse,"MBR sludge -Day 326, TDS 100g/L",2020-06-14,
MBR 137,LDRD- Produced Water Reuse,"MBR sludge -Day 326, TDS 100g/L",2020-06-14,
MBR 138,LDRD- Produced Water Reuse,"MBR sludge -Day 326, TDS 100g/L",2020-06-14,
MBR 139,LDRD- Produced Water Reuse,"MBR sludge -Day 326, TDS 100g/L",2020-06-14,
MBR 142,LDRD- Produced Water Reuse,"MBR sludge -Day 326, TDS 100g/L",2020-06-14,
